"Story","Title","Result","Date","Stability","Duration (s)"
"Contactarse con el administrador","Envio correcto del mensaje","SUCCESS","2022-04-07T18:50:56.468-05:00[America/Bogota]","0.0","20.14"
"Contactarse con el administrador","Ingreso erroneo de usuario","SUCCESS","2022-04-07T18:51:17.7-05:00[America/Bogota]","0.0","14.13"
"Crear un usuario","Registro correcto de usuario","SUCCESS","2022-04-07T18:51:32.673-05:00[America/Bogota]","0.0","23.09"
"Crear un usuario","Registro incorrecto de usuario ya existente","SUCCESS","2022-04-07T18:51:56.53-05:00[America/Bogota]","0.0","17.22"
"Ingresar al sistema","Loggin de usuario","SUCCESS","2022-04-07T18:52:14.542-05:00[America/Bogota]","0.0","36.88"
"Ingresar al sistema","Loggin erroneo de usuario","SUCCESS","2022-04-07T18:52:52.19-05:00[America/Bogota]","0.0","15.57"
