"Story","Title","Result","Date","Stability","Duration (s)"
"Crear un usuario","Registro correcto de usuario","SUCCESS","2022-04-07T18:51:32.673-05:00[America/Bogota]","0.0","23.09"
"Crear un usuario","Registro incorrecto de usuario ya existente","SUCCESS","2022-04-07T18:51:56.53-05:00[America/Bogota]","0.0","17.22"
