"Story","Title","Result","Date","Stability","Duration (s)"
"Contactarse con el administrador","Envio correcto del mensaje","SUCCESS","2022-04-07T18:50:56.468-05:00[America/Bogota]","0.0","20.14"
"Contactarse con el administrador","Ingreso erroneo de usuario","SUCCESS","2022-04-07T18:51:17.7-05:00[America/Bogota]","0.0","14.13"
